# Quadriceps.jl catalog of rules128.bin (IEEE binary128) — written by build/build_data.jl; do not edit by hand
# relerr128: largest relative monomial error of the rule rounded to binary128, in wider arithmetic; 2^-112 = 1.93e-34 is the machine epsilon
# extendedfile, sha256: the deposit's 80-digit file (rules_extended/ in the Zenodo archive) the binary128 rule was rounded from;
# relerr80: the deposit's measured error of that 80-digit rule (err_extended in its summary.csv)
family	d	p	n	relerr128	extendedfile	sha256	relerr80
gh	2	1	1	0.000e+00	hermite_d2_p1_q1_n1.mp.csv	a302925672b4c1ef2c9dc76c554cb78beb7547e8e0e8e28c988f44b2528c036d	0.000e+00
gh	2	3	4	1.111e-34	hermite_d2_p3_q2_n4.mp.csv	83a9a1b7282b38400a79bde22cec3b19f919738e7becb177f4061220e2a7ed13	3.579e-70
gh	2	5	7	1.408e-34	hermite_d2_p5_q3_n7.mp.csv	ed2e8d091be9ab44265ae614c971e0968d9da6bb8a2929fc20b444ad37caa474	2.677e-69
gh	2	7	12	1.576e-34	hermite_d2_p7_q4_n12.mp.csv	2ca3fb215f607c4e6daf9d3d2a260530c462728399435f6fba37d1851b4e1740	1.235e-69
gh	2	9	18	2.434e-34	hermite_d2_p9_q5_n18.mp.csv	ebf77e83d58b65c68b6cd6f758d278672fcf48c314dec84cac3c366d909684aa	6.772e-69
gh	2	11	25	4.205e-34	hermite_d2_p11_q6_n25.mp.csv	c6f081e7d5670108fb8d9cd603b8c35fdf0471f8858457cc7d92a1d831ffc277	1.121e-79
gh	2	13	34	5.538e-34	hermite_d2_p13_q7_n34.mp.csv	f8f907bf56e5a8de672620c1c10bff370fb77b487764165a4f2a13711b384b6d	8.862e-80
gh	2	15	44	4.508e-34	hermite_d2_p15_q8_n44.mp.csv	cd306d26b4c2886409054e9f2694b2e0ae3fa5dce967d8f8ac051af7b82bf072	1.342e-79
gh	2	17	55	4.603e-34	hermite_d2_p17_q9_n55.mp.csv	175e53caf5eda3d4f0afc49f56102a1ccad192abde4682a89ab5b3cf4c2423f6	6.414e-79
gh	2	19	68	4.011e-34	hermite_d2_p19_q10_n68.mp.csv	f13578e00455432df748dc5fdc07dbe6c83b829da2410516c8a7e93a3bd585c2	6.790e-78
gh	2	21	82	5.157e-34	hermite_d2_p21_q11_n82.mp.csv	0aa18cc3d450a645eb3433013d0e09728acf4799758c75c9500688e85fcc5817	3.043e-77
gh	2	23	97	6.777e-34	hermite_d2_p23_q12_n97.mp.csv	f43d0f2ac1cb3a8396486e37abfd4b8c610575742f2f08eb2bef29b9a2e5fba5	8.652e-74
gh	2	25	114	7.238e-34	hermite_d2_p25_q13_n114.mp.csv	c105f8508db3bf96f276ef68ac667dd70a28758433a31202c23f0839783f7d36	6.523e-71
gh	2	27	132	7.215e-34	hermite_d2_p27_q14_n132.mp.csv	6a3da1477476aba077b542247a0d3c2b2c0024fd38e01f6b565f25db42cd16bd	1.145e-69
gh	2	29	153	7.797e-34	hermite_d2_p29_q15_n153.mp.csv	eca9e38abd70fcdadd78be4d19a2766f21005d4de258032e4437f42f174fd6b6	5.039e-78
gh	2	31	178	8.719e-34	hermite_d2_p31_q16_n178.mp.csv	7f449334953f6d7ddc74e6a1cc0d628a7f1b9386b147d4551aafdd2cfd006986	7.883e-69
gh	2	33	208	4.934e-34	hermite_d2_p33_q17_n208.mp.csv	00621728f9d76b358cc598be71cee67e798915e68450fedf566fcd5147b77e36	7.175e-69
gh	3	1	1	0.000e+00	hermite_d3_p1_q1_n1.mp.csv	fd6f6598b350b52b438b1b822c0d2b0ed98a7281099330d88084771aee3871d1	0.000e+00
gh	3	3	6	6.335e-35	hermite_d3_p3_q2_n6.mp.csv	5db87ab516406c9e110a8c5b91bef7e964701ddaeec84bd9daf33362a7c985f8	5.448e-71
gh	3	5	13	1.737e-34	hermite_d3_p5_q3_n13.mp.csv	7b5277830d93da745340e729d689d490e1cdf352011e93741e0b51fe04d1b926	1.090e-69
gh	3	7	27	2.187e-34	hermite_d3_p7_q4_n27.mp.csv	a12ec4ce867f3a251531f32bc1db971b08a8d738a80e6d21d07ae7a55943bb76	5.972e-69
gh	3	9	45	2.659e-34	hermite_d3_p9_q5_n45.mp.csv	350bd317306deea392e240faaf069167a7be45d1b3e2175193ce3f11836bb6c2	9.279e-69
gh	3	11	77	3.509e-34	hermite_d3_p11_q6_n77.mp.csv	c3dc7a42c329da740c7801f2b10922636347c8ccf5b445a84323738d8c23cfa0	1.008e-79
gh	3	13	128	3.344e-34	hermite_d3_p13_q7_n128.mp.csv	fdbf3b092c0f410161613c18953db182f82fdd7f371daaede1d4ff4d80edba07	6.338e-80
gh	3	15	184	3.655e-34	hermite_d3_p15_q8_n184.mp.csv	5a3523f01865bddfac66951ddd34424bb6f5243416ea4077ca6751b168e1862b	5.180e-79
gh	3	17	264	3.365e-34	hermite_d3_p17_q9_n264.mp.csv	a3606f989b1e3eacc2c6af4089d41ec298347fdc109633a7fe7bd0329c4d0b68	2.643e-78
gh	3	19	354	4.654e-34	hermite_d3_p19_q10_n354.mp.csv	7aebb032166fd23466bb7d7b1f4e7e6e99424e8a58d6fa9d81fd882f044c99da	1.413e-69
gh	3	21	476	5.538e-34	hermite_d3_p21_q11_n476.mp.csv	466e703dedc6470e532e45594abb428d11a3fdb88fffa5d0629cc7ed3eb310ff	1.752e-71
gh	3	23	597	4.522e-34	hermite_d3_p23_q12_n597.mp.csv	92183d9fa7729a3e51bb9f45a543cb711a87b2101ecdd7435c00610dfa0bf737	2.974e-72
gh	3	25	776	5.231e-34	hermite_d3_p25_q13_n776.mp.csv	8be16124a8bf01955a10afa46b8e94c99e3722abf962d6429e2c8b6539fdead3	5.128e-73
gh	3	27	966	5.220e-34	hermite_d3_p27_q14_n966.mp.csv	0b0f21c9938268bde927e270c1b84047c14c3e4e0dafab15b3bb031bc34f0869	2.642e-71
gh	3	29	1242	6.385e-34	hermite_d3_p29_q15_n1242.mp.csv	7ea10fe7c1fc93ff01f5391c2dbeda5da60048c89ed6489d6f2d11a404767b76	6.324e-72
gh	3	31	1848	4.763e-34	hermite_d3_p31_q16_n1848.mp.csv	f5a7d4d160d030f232d830f6ac7ba66d0ae74d46743adfce0a4610d95717dec1	2.070e-71
gh	3	33	2226	5.438e-34	hermite_d3_p33_q17_n2226.mp.csv	ee028bee4403b25e92f0c0536cadb627dcecafbbc862fa03cdfeab3fe1cd41f7	1.080e-69
gh	4	1	1	0.000e+00	hermite_d4_p1_q1_n1.mp.csv	cae2a373fe2cdc4bc1c2f711c3dd652ed28e4b666a1f0d316db2c630419fff7b	0.000e+00
gh	4	3	8	9.951e-35	hermite_d4_p3_q2_n8.mp.csv	3ba5646c9d524b7fa37c75ccf6e4271cd216bf3e817a99ac06fe72cb2b07350b	6.588e-70
gh	4	5	22	1.083e-34	hermite_d4_p5_q3_n22.mp.csv	3d4332ac55ec0d1207a81273606a9c3e0464fcd231d91a0f2b357dd641ec6f53	1.807e-69
gh	4	7	49	2.088e-34	hermite_d4_p7_q4_n49.mp.csv	1291ff2149d56307e3f6e364777c900d29c5a1f77de0d0c3befbeeb3dd34de6c	7.209e-69
gh	4	9	116	2.330e-34	hermite_d4_p9_q5_n116.mp.csv	55ca55a90d905fd412d6fc86d3f8aa64a5d67322ece7d1802c2f75779dacf2f8	7.667e-80
gh	4	11	193	1.866e-34	hermite_d4_p11_q6_n193.mp.csv	8e9772f255a5b9c62f74f4a67712da3d9fb50fe264ce3a4b8817b0396fdf9804	8.262e-80
gh	4	13	414	3.682e-34	hermite_d4_p13_q7_n414.mp.csv	2d87aa32c5bfa2615526266db010e862f3bafddddf07bcdd2d2bf98eb94c7d8a	6.702e-80
gh	4	15	577	2.378e-34	hermite_d4_p15_q8_n577.mp.csv	4f3687ab450853ef07cc7037c3f55d794aef5a0b9b9267646f237f5c837008e9	7.170e-80
gh	4	17	1056	2.439e-34	hermite_d4_p17_q9_n1056.mp.csv	06bf11081aafa33fb95f5e3acfbf55d21693ea337cccd94793fdb5dd22bc8fc7	1.087e-77
gh	4	19	1505	5.624e-34	hermite_d4_p19_q10_n1505.mp.csv	484a529dd3ff2a8eaece62b30ec3c1f3d44bbfa1dcc57c768cf7966dca0a294f	1.520e-79
gh	4	21	2318	2.981e-34	hermite_d4_p21_q11_n2318.mp.csv	71965a0ee1dc323a9b33bcd9b38a858c0c297dcecff9f31c8996c7e1c73a538e	1.877e-69
gh	4	23	3238	3.647e-34	hermite_d4_p23_q12_n3238.mp.csv	28145fb5c232e16902302a64e39c4a6b2bb37e09dc2045dbe28becfec3886501	1.288e-71
gh	5	1	1	0.000e+00	hermite_d5_p1_q1_n1.mp.csv	2ab563c21656d2c9254568344b8acfe766945da740f1852cc3bafb95b7b9fd1f	0.000e+00
gh	5	3	10	1.129e-34	hermite_d5_p3_q2_n10.mp.csv	501dd590d548e1b7135eaff1d50fa77abbe81a2e93395f912a98a95d529528d9	2.158e-70
gh	5	5	32	8.858e-35	hermite_d5_p5_q3_n32.mp.csv	95e8e3ab00cce2bc6d6b4b09238c552376437438e422a4a781086a438e4c953c	2.070e-69
gh	5	7	83	1.700e-34	hermite_d5_p7_q4_n83.mp.csv	19cbf32eb2d98030de3ba00792d16ff6320fc36c337638d167589e10068d0e0f	8.226e-80
gh	5	9	244	1.590e-34	hermite_d5_p9_q5_n244.mp.csv	2ecdb564a293013adf019ef81bc541610370ecb61679f3fdcef4b11bafc296bc	5.365e-80
gh	5	11	485	2.387e-34	hermite_d5_p11_q6_n485.mp.csv	142f1d046f11ed594878168b7e0c9e87448ab5d67894aa2cec1e795e27e32de3	9.697e-80
